rewards_to_collect_till_now,projected_rewards_to_collect,rewards_till_now,projected_rewards,account,last_sync_time,last_sync_time_epoch,now_utc,now_epoch,last_redeem_time,last_redeem_time_epoch,last_collect_time,last_collect_time_epoch,basic_start,seed_start,program_end,actual_stake,virtual_stake,actual_base,virtual_base,last_sync_reward,total_boost,collected_rewards
12908.742941597835,26946.50609241717,12908.742941597835,26946.50609241717,\x95ed91e587f17a311cd216c704a2cbd06cff085a,2021-10-16T04:14:40+00:00,1634357680,2021-10-18T20:59:41+00:00,1634590781.373246,2021-07-27T03:53:30+00:00,1627358010,,0,1627387200,1630065600,1642424400,200065.826200000000,0.000000000000000000000000000000000000,5787,7032,12491.027703766129,3170,0
2032.681381010263,16650.006346460857,11639.934123018507,26257.2590884691,\x508f1b6c5eb1e0f9d48795c848d87288bae13a46,2021-10-06T06:25:55+00:00,1633501555,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-22T11:54:40+00:00,1632311680,2021-10-06T06:24:00+00:00,1633501440,1627387200,1630065600,1642424400,171836.589500000000,0.000000000000000000000000000000000000,5787,7032,9607.4665473953366545,5072,9607.2527420082443520
3839.880118843933,21973.167348746272,6327.40260174988,24460.68983165222,\x83f097475c0d5feaaea43cd42781d4313611a0d9,2021-09-29T16:12:25+00:00,1632931945,2021-10-18T20:59:41+00:00,1634590781.373246,,0,2021-09-29T16:12:25+00:00,1632931945,1627387200,1630065600,1642424400,400000.591900000000,0.000000000000000000000000000000000000,5787,7032,2487.5224829059472595,0,2487.5224829059472595
377.9937909565033,13795.83579782436,10616.109059576072,24033.95106644393,\x42f7061ee77094e31f5ac69e6f76d8054bb7495f,2021-10-16T07:44:50+00:00,1634370290,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-17T20:19:45+00:00,1631909985,2021-10-16T07:41:40+00:00,1634370100,1627387200,1630065600,1642424400,162479.000000000000,0.000000000000000000000000000000000000,5787,7032,10238.439613173950,4755,10238.115268619570
1018.8192457931091,13629.768270371309,9758.198845109073,22369.147869687273,\x5bffcd8f4809e29bcace4c9c21e0c3b6963ecec1,2021-10-11T13:13:05+00:00,1633957985,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-30T11:58:40+00:00,1633003120,2021-10-11T13:11:55+00:00,1633957915,1627387200,1630065600,1642424400,148250.276700000000,0.000000000000000000000000000000000000,5787,7032,8739.4917588733259800,5072,8739.3795993159636520
6943.816274563332,18964.375015208687,6943.816274563332,18964.375015208687,\xae8ce6bb2b95684f57c097b407f4e9b55d9ca432,2021-08-27T08:37:25+00:00,1630053445,2021-10-18T20:59:41+00:00,1634590781.373246,,0,,0,1627387200,1630065600,1642424400,0.000000000000000000000000000000000000,218214.380992500000,5787,7032,0.000000000000000000000000000000000000,0,0
813.1666669974375,10651.11759993176,8193.83134032853,18031.782273262852,\x616c9f0aaa13d3587b9fe6f513df62522f7d900c,2021-10-11T09:08:05+00:00,1633943285,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-17T18:41:25+00:00,1631904085,2021-10-11T09:08:05+00:00,1633943285,1627387200,1630065600,1642424400,119129.471700000000,0.000000000000000000000000000000000000,5787,7032,7380.6646733310922365,4755,7380.6646733310922365
264.14641213616324,9853.282752493897,7668.366820551587,17257.50316090932,\x3f4d0a6654c8365b42dcaa8aa92d9034e2a6141f,2021-10-16T09:03:40+00:00,1634375020,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-17T16:51:30+00:00,1631897490,2021-10-16T09:03:13+00:00,1634374993,1627387200,1630065600,1642424400,116116.532200000000,0.000000000000000000000000000000000000,5787,7032,7404.2532194666220210,4755,7404.2204084154238062
8133.103724339722,16977.54227888078,8133.103724339722,16977.54227888078,\x2c7ed5966fa687e84d6837ee2efb29d2430112f5,2021-07-27T09:45:50+00:00,1627379150,2021-10-18T20:59:41+00:00,1634590781.373246,2021-07-27T09:45:50+00:00,1627379150,,0,1627387200,1630065600,1642424400,126050.702500000000,0.000000000000000000000000000000000000,5787,7032,0.000000000000000000000000000000000000,3170,0
8129.832273380666,16970.7132504,8129.832273380666,16970.7132504,\x12ee827ae3b9390560eec8d6ac1685d8df99faf4,2021-07-30T14:49:45+00:00,1627656585,2021-10-18T20:59:41+00:00,1634590781.373246,2021-07-27T08:16:40+00:00,1627373800,,0,1627387200,1630065600,1642424400,126000.000000000000,0.000000000000000000000000000000000000,5787,7032,304.0230620700000000,3170,0
