g_time,message,node_time
2021-12-13 22:47:27.976807+00:00,"2021-12-13T22:47:25.912Z hopr:cover-traffic strategy tick: 1639435645911 balance:5833942472499236912 open: close: 
",2021-12-13T22:47:25.912Z
2021-12-13 22:47:38.975934+00:00,"2021-12-13T22:47:37.007Z hopr:cover-traffic strategy tick: 1639435657007 balance:5833942472499236912 open: close: 
",2021-12-13T22:47:37.007Z
2021-12-13 22:47:50.150934+00:00,"2021-12-13T22:47:48.070Z hopr:cover-traffic strategy tick: 1639435668070 balance:5833942472499236912 open: close: 
",2021-12-13T22:47:48.070Z
2021-12-13 22:48:04.260990+00:00,"2021-12-13T22:47:59.202Z hopr:cover-traffic strategy tick: 1639435679202 balance:5833942472499236912 open: close: 
",2021-12-13T22:47:59.202Z
2021-12-13 22:48:12.210538+00:00,"2021-12-13T22:48:10.306Z hopr:cover-traffic strategy tick: 1639435690306 balance:5833942472499236912 open: close: 
",2021-12-13T22:48:10.306Z
2021-12-13 22:48:23.130662+00:00,"2021-12-13T22:48:21.403Z hopr:cover-traffic strategy tick: 1639435701403 balance:5833942472499236912 open: close: 
",2021-12-13T22:48:21.403Z
2021-12-13 22:48:35.335481+00:00,"2021-12-13T22:48:32.555Z hopr:cover-traffic strategy tick: 1639435712554 balance:5833942472499236912 open: close: 
",2021-12-13T22:48:32.555Z
2021-12-13 22:48:47.080675+00:00,"2021-12-13T22:48:43.685Z hopr:cover-traffic strategy tick: 1639435723685 balance:5833942472499236912 open: close: 
",2021-12-13T22:48:43.685Z
2021-12-13 22:48:59.283597+00:00,"2021-12-13T22:48:54.762Z hopr:cover-traffic strategy tick: 1639435734761 balance:5833942472499236912 open: close: 
",2021-12-13T22:48:54.762Z
2021-12-13 22:49:11.458126+00:00,"2021-12-13T22:49:05.929Z hopr:cover-traffic strategy tick: 1639435745929 balance:5833942472499236912 open: close: 
",2021-12-13T22:49:05.929Z
2021-12-13 22:49:23.146982+00:00,"2021-12-13T22:49:17.014Z hopr:cover-traffic strategy tick: 1639435757014 balance:5833942472499236912 open: close: 
",2021-12-13T22:49:17.014Z
2021-12-13 22:49:29.279318+00:00,"2021-12-13T22:49:28.110Z hopr:cover-traffic strategy tick: 1639435768110 balance:5833942472499236912 open: close: 
",2021-12-13T22:49:28.110Z
2021-12-13 22:49:41.133397+00:00,"2021-12-13T22:49:39.245Z hopr:cover-traffic strategy tick: 1639435779245 balance:5833942472499236912 open: close: 
",2021-12-13T22:49:39.245Z
2021-12-13 22:49:54.378359+00:00,"2021-12-13T22:49:50.311Z hopr:cover-traffic strategy tick: 1639435790311 balance:5833942472499236912 open: close: 
",2021-12-13T22:49:50.311Z
2021-12-13 22:50:07.452488+00:00,"2021-12-13T22:50:01.527Z hopr:cover-traffic strategy tick: 1639435801527 balance:5833942472499236912 open: close: 
",2021-12-13T22:50:01.527Z
2021-12-13 22:50:13.378656+00:00,"2021-12-13T22:50:12.630Z hopr:cover-traffic strategy tick: 1639435812630 balance:5833942472499236912 open: close: 
",2021-12-13T22:50:12.630Z
2021-12-13 22:50:26.296341+00:00,"2021-12-13T22:50:23.682Z hopr:cover-traffic strategy tick: 1639435823682 balance:5833942472499236912 open: close: 
",2021-12-13T22:50:23.682Z
2021-12-13 22:50:38.470134+00:00,"2021-12-13T22:50:34.749Z hopr:cover-traffic strategy tick: 1639435834749 balance:5833942472499236912 open: close: 
",2021-12-13T22:50:34.749Z
2021-12-13 22:50:50.547222+00:00,"2021-12-13T22:50:45.881Z hopr:cover-traffic strategy tick: 1639435845881 balance:5833942472499236912 open: close: 
",2021-12-13T22:50:45.881Z
2021-12-13 22:51:01.005209+00:00,"2021-12-13T22:50:56.978Z hopr:cover-traffic strategy tick: 1639435856978 balance:5833942472499236912 open: close: 
",2021-12-13T22:50:56.978Z
2021-12-13 22:51:12.088087+00:00,"2021-12-13T22:51:08.072Z hopr:cover-traffic strategy tick: 1639435868072 balance:5833942472499236912 open: close: 
",2021-12-13T22:51:08.072Z
2021-12-13 22:51:24.275766+00:00,"2021-12-13T22:51:19.295Z hopr:cover-traffic strategy tick: 1639435879295 balance:5833942472499236912 open: close: 
",2021-12-13T22:51:19.295Z
2021-12-13 22:51:36.349494+00:00,"2021-12-13T22:51:30.374Z hopr:cover-traffic strategy tick: 1639435890374 balance:5833942472499236912 open: close: 
",2021-12-13T22:51:30.374Z
2021-12-13 22:51:42.330640+00:00,"2021-12-13T22:51:41.456Z hopr:cover-traffic strategy tick: 1639435901456 balance:5833942472499236912 open: close: 
",2021-12-13T22:51:41.456Z
2021-12-13 22:51:56.417927+00:00,"2021-12-13T22:51:52.636Z hopr:cover-traffic strategy tick: 1639435912636 balance:5833942472499236912 open: close: 
",2021-12-13T22:51:52.636Z
2021-12-13 22:52:08.360316+00:00,"2021-12-13T22:52:03.735Z hopr:cover-traffic strategy tick: 1639435923735 balance:5833942472499236912 open: close: 
",2021-12-13T22:52:03.735Z
2021-12-13 22:52:20.479604+00:00,"2021-12-13T22:52:14.886Z hopr:cover-traffic strategy tick: 1639435934886 balance:5833942472499236912 open: close: 
",2021-12-13T22:52:14.886Z
2021-12-13 22:52:27.511380+00:00,"2021-12-13T22:52:25.995Z hopr:cover-traffic strategy tick: 1639435945995 balance:5833942472499236912 open: close: 
",2021-12-13T22:52:25.995Z
2021-12-13 22:52:39.030201+00:00,"2021-12-13T22:52:37.117Z hopr:cover-traffic strategy tick: 1639435957117 balance:5833942472499236912 open: close: 
",2021-12-13T22:52:37.117Z
2021-12-13 22:52:50.200160+00:00,"2021-12-13T22:52:48.187Z hopr:cover-traffic strategy tick: 1639435968187 balance:5833942472499236912 open: close: 
",2021-12-13T22:52:48.187Z
2021-12-13 22:53:03.096006+00:00,"2021-12-13T22:52:59.344Z hopr:cover-traffic strategy tick: 1639435979344 balance:5833942472499236912 open: close: 
",2021-12-13T22:52:59.344Z
2021-12-13 22:53:15.278750+00:00,"2021-12-13T22:53:10.405Z hopr:cover-traffic strategy tick: 1639435990405 balance:5833942472499236912 open: close: 
",2021-12-13T22:53:10.405Z
2021-12-13 22:53:27.173172+00:00,"2021-12-13T22:53:21.606Z hopr:cover-traffic strategy tick: 1639436001605 balance:5833942472499236912 open: close: 
",2021-12-13T22:53:21.606Z
2021-12-13 22:53:33.254865+00:00,"2021-12-13T22:53:32.736Z hopr:cover-traffic strategy tick: 1639436012736 balance:5833942472499236912 open: close: 
",2021-12-13T22:53:32.736Z
2021-12-13 22:53:46.363280+00:00,"2021-12-13T22:53:43.874Z hopr:cover-traffic strategy tick: 1639436023874 balance:5833942472499236912 open: close: 
",2021-12-13T22:53:43.874Z
2021-12-13 22:53:58.553464+00:00,"2021-12-13T22:53:54.993Z hopr:cover-traffic strategy tick: 1639436034993 balance:5833942472499236912 open: close: 
",2021-12-13T22:53:54.993Z
