g_time,message,node_time
2021-11-13 00:37:10.719241+00:00,"2021-11-13T00:37:05.903Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:37:05.903Z
2021-11-13 00:37:10.719241+00:00,"2021-11-13T00:37:06.140Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:37:06.140Z
2021-11-13 00:37:46.137603+00:00,"2021-11-13T00:37:44.653Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:37:44.653Z
2021-11-13 00:37:46.137603+00:00,"2021-11-13T00:37:44.837Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:37:44.837Z
2021-11-13 00:38:29.403101+00:00,"2021-11-13T00:38:25.996Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:38:25.996Z
2021-11-13 00:38:29.403101+00:00,"2021-11-13T00:38:26.186Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:38:26.186Z
2021-11-13 00:39:04.128863+00:00,"2021-11-13T00:39:03.373Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:39:03.373Z
2021-11-13 00:39:04.128863+00:00,"2021-11-13T00:39:03.570Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:39:03.570Z
2021-11-13 00:39:46.241150+00:00,"2021-11-13T00:39:43.377Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:39:43.377Z
2021-11-13 00:39:46.241150+00:00,"2021-11-13T00:39:43.575Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:39:43.575Z
2021-11-13 00:40:26.811336+00:00,"2021-11-13T00:40:21.761Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:40:21.761Z
2021-11-13 00:40:26.811336+00:00,"2021-11-13T00:40:21.956Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:40:21.956Z
2021-11-13 00:41:06.192624+00:00,"2021-11-13T00:41:01.194Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:41:01.194Z
2021-11-13 00:41:06.192624+00:00,"2021-11-13T00:41:01.405Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:41:01.405Z
2021-11-13 00:41:44.954476+00:00,"2021-11-13T00:41:39.808Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:41:39.808Z
2021-11-13 00:41:44.954476+00:00,"2021-11-13T00:41:40.032Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:41:40.032Z
2021-11-13 00:42:23.155361+00:00,"2021-11-13T00:42:19.689Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:42:19.689Z
2021-11-13 00:42:23.155361+00:00,"2021-11-13T00:42:19.903Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:42:19.903Z
2021-11-13 00:43:01.758321+00:00,"2021-11-13T00:42:58.685Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:42:58.685Z
2021-11-13 00:43:01.758321+00:00,"2021-11-13T00:42:58.893Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:42:58.893Z
2021-11-13 00:43:43.374628+00:00,"2021-11-13T00:43:37.452Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:43:37.452Z
2021-11-13 00:43:43.374628+00:00,"2021-11-13T00:43:37.648Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:43:37.648Z
2021-11-13 00:44:20.433838+00:00,"2021-11-13T00:44:15.528Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:44:15.528Z
2021-11-13 00:44:20.433838+00:00,"2021-11-13T00:44:15.733Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:44:15.733Z
2021-11-13 00:44:52.724698+00:00,"2021-11-13T00:44:52.467Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:44:52.467Z
2021-11-13 00:44:57.694009+00:00,"2021-11-13T00:44:52.679Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:44:52.679Z
2021-11-13 00:45:30.975421+00:00,"2021-11-13T00:45:29.582Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:45:29.582Z
2021-11-13 00:45:30.975421+00:00,"2021-11-13T00:45:29.782Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:45:29.782Z
2021-11-13 00:46:12.559930+00:00,"2021-11-13T00:46:07.551Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:46:07.551Z
2021-11-13 00:46:12.559930+00:00,"2021-11-13T00:46:07.735Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:46:07.735Z
2021-11-13 00:46:47.068549+00:00,"2021-11-13T00:46:44.750Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:46:44.750Z
2021-11-13 00:46:47.068549+00:00,"2021-11-13T00:46:44.951Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:46:44.951Z
2021-11-13 00:47:22.686591+00:00,"2021-11-13T00:47:22.107Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:47:22.107Z
2021-11-13 00:47:22.686591+00:00,"2021-11-13T00:47:22.307Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:47:22.307Z
2021-11-13 00:48:01.121569+00:00,"2021-11-13T00:47:59.721Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:47:59.721Z
2021-11-13 00:48:01.121569+00:00,"2021-11-13T00:47:59.933Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:47:59.933Z
2021-11-13 00:48:41.671713+00:00,"2021-11-13T00:48:36.617Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:48:36.617Z
2021-11-13 00:48:41.671713+00:00,"2021-11-13T00:48:36.810Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:48:36.810Z
2021-11-13 00:49:21.902373+00:00,"2021-11-13T00:49:16.106Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:49:16.106Z
2021-11-13 00:49:21.902373+00:00,"2021-11-13T00:49:16.316Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:49:16.316Z
2021-11-13 00:49:56.141105+00:00,"2021-11-13T00:49:54.927Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:49:54.927Z
2021-11-13 00:49:56.141105+00:00,"2021-11-13T00:49:55.136Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:49:55.136Z
2021-11-13 00:50:39.721432+00:00,"2021-11-13T00:50:34.596Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:50:34.596Z
2021-11-13 00:50:39.721432+00:00,"2021-11-13T00:50:34.836Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:50:34.836Z
2021-11-13 00:51:16.095582+00:00,"2021-11-13T00:51:12.895Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:51:12.895Z
2021-11-13 00:51:16.095582+00:00,"2021-11-13T00:51:13.110Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:51:13.110Z
2021-11-13 00:51:54.638124+00:00,"2021-11-13T00:51:49.834Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:51:49.834Z
2021-11-13 00:51:54.638124+00:00,"2021-11-13T00:51:50.029Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:51:50.029Z
2021-11-13 00:52:33.526608+00:00,"2021-11-13T00:52:28.610Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:52:28.610Z
2021-11-13 00:52:33.526608+00:00,"2021-11-13T00:52:28.814Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:52:28.814Z
2021-11-13 00:53:05.806098+00:00,"2021-11-13T00:53:05.410Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:53:05.410Z
2021-11-13 00:53:05.806098+00:00,"2021-11-13T00:53:05.608Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:53:05.608Z
2021-11-13 00:53:46.225790+00:00,"2021-11-13T00:53:42.911Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:53:42.911Z
2021-11-13 00:53:46.225790+00:00,"2021-11-13T00:53:43.120Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:53:43.120Z
2021-11-13 00:54:22.619132+00:00,"2021-11-13T00:54:22.234Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:54:22.234Z
2021-11-13 00:54:22.619132+00:00,"2021-11-13T00:54:22.438Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:54:22.438Z
2021-11-13 00:55:07.909467+00:00,"2021-11-13T00:55:02.632Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:55:02.632Z
2021-11-13 00:55:07.909467+00:00,"2021-11-13T00:55:02.869Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:55:02.869Z
2021-11-13 00:55:45.159798+00:00,"2021-11-13T00:55:42.388Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:55:42.388Z
2021-11-13 00:55:45.159798+00:00,"2021-11-13T00:55:42.604Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:55:42.604Z
2021-11-13 00:56:27.597011+00:00,"2021-11-13T00:56:22.770Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:56:22.770Z
2021-11-13 00:56:27.597011+00:00,"2021-11-13T00:56:22.959Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:56:22.959Z
2021-11-13 00:57:08.086636+00:00,"2021-11-13T00:57:02.265Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:57:02.265Z
2021-11-13 00:57:08.086636+00:00,"2021-11-13T00:57:02.472Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:57:02.472Z
2021-11-13 00:57:44.343054+00:00,"2021-11-13T00:57:40.773Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:57:40.773Z
2021-11-13 00:57:44.343054+00:00,"2021-11-13T00:57:40.974Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:57:40.974Z
2021-11-13 00:58:20.536709+00:00,"2021-11-13T00:58:20.292Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:58:20.292Z
2021-11-13 00:58:25.540364+00:00,"2021-11-13T00:58:20.510Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:58:20.510Z
