g_time,message,node_time
2021-12-08 07:44:10.733161+00:00,"2021-12-08T07:44:06.436Z hopr:cover-traffic strategy tick: 1638949446435 balance:7333942472499234912 open:16Uiu2HAmMBYpQVq7rfFxV5iP3JPXJKs1dqRe2Z6HX7zXJgwjTzjV close: 
",2021-12-08T07:44:06.436Z
2021-12-08 07:45:05.636023+00:00,"2021-12-08T07:45:02.855Z hopr:cover-traffic strategy tick: 1638949502855 balance:7333942472499233912 open: close: 
",2021-12-08T07:45:02.855Z
2021-12-08 07:45:15.754405+00:00,"2021-12-08T07:45:13.398Z hopr:cover-traffic strategy tick: 1638949513397 balance:7333942472499233912 open: close: 
",2021-12-08T07:45:13.398Z
2021-12-08 07:45:25.692417+00:00,"2021-12-08T07:45:23.931Z hopr:cover-traffic strategy tick: 1638949523931 balance:7333942472499233912 open: close: 
",2021-12-08T07:45:23.931Z
2021-12-08 07:45:35.721995+00:00,"2021-12-08T07:45:34.546Z hopr:cover-traffic strategy tick: 1638949534546 balance:7333942472499233912 open: close: 
",2021-12-08T07:45:34.546Z
2021-12-08 07:45:45.636592+00:00,"2021-12-08T07:45:45.056Z hopr:cover-traffic strategy tick: 1638949545056 balance:7333942472499233912 open: close: 
",2021-12-08T07:45:45.056Z
2021-12-08 07:46:00.677791+00:00,"2021-12-08T07:45:55.587Z hopr:cover-traffic strategy tick: 1638949555587 balance:7333942472499233912 open: close: 
",2021-12-08T07:45:55.587Z
2021-12-08 07:46:10.710571+00:00,"2021-12-08T07:46:06.172Z hopr:cover-traffic strategy tick: 1638949566172 balance:7333942472499233912 open: close: 
",2021-12-08T07:46:06.172Z
2021-12-08 07:46:20.766901+00:00,"2021-12-08T07:46:16.659Z hopr:cover-traffic strategy tick: 1638949576658 balance:7333942472499233912 open: close: 
",2021-12-08T07:46:16.659Z
2021-12-08 07:46:30.747850+00:00,"2021-12-08T07:46:27.141Z hopr:cover-traffic strategy tick: 1638949587141 balance:7333942472499233912 open: close: 
",2021-12-08T07:46:27.141Z
2021-12-08 07:46:40.744696+00:00,"2021-12-08T07:46:37.677Z hopr:cover-traffic strategy tick: 1638949597677 balance:7333942472499233912 open: close: 
",2021-12-08T07:46:37.677Z
2021-12-08 07:46:50.583434+00:00,"2021-12-08T07:46:48.164Z hopr:cover-traffic strategy tick: 1638949608164 balance:7333942472499233912 open: close: 
",2021-12-08T07:46:48.164Z
2021-12-08 07:47:00.776963+00:00,"2021-12-08T07:46:58.655Z hopr:cover-traffic strategy tick: 1638949618654 balance:7333942472499233912 open: close: 16Uiu2HAmMBYpQVq7rfFxV5iP3JPXJKs1dqRe2Z6HX7zXJgwjTzjV
",2021-12-08T07:46:58.655Z
2021-12-08 07:47:55.758024+00:00,"2021-12-08T07:47:54.970Z hopr:cover-traffic strategy tick: 1638949674970 balance:7333942472499233912 open: close: 
",2021-12-08T07:47:54.970Z
2021-12-08 07:48:10.843503+00:00,"2021-12-08T07:48:05.961Z hopr:cover-traffic strategy tick: 1638949685961 balance:7333942472499233912 open: close: 
",2021-12-08T07:48:05.961Z
2021-12-08 07:48:20.876011+00:00,"2021-12-08T07:48:16.787Z hopr:cover-traffic strategy tick: 1638949696787 balance:7333942472499233912 open: close: 
",2021-12-08T07:48:16.787Z
2021-12-08 08:00:41.705453+00:00,"2021-12-08T08:00:36.763Z hopr:cover-traffic strategy tick: 1638950436763 balance:7333942472499233912 open: close: 
",2021-12-08T08:00:36.763Z
2021-12-08 08:00:51.735943+00:00,"2021-12-08T08:00:47.357Z hopr:cover-traffic strategy tick: 1638950447357 balance:7333942472499233912 open: close: 
",2021-12-08T08:00:47.357Z
2021-12-08 08:01:01.724382+00:00,"2021-12-08T08:00:57.705Z hopr:cover-traffic strategy tick: 1638950457705 balance:7333942472499233912 open: close: 
",2021-12-08T08:00:57.705Z
2021-12-08 16:48:15.169815+00:00,"2021-12-08T16:48:13.492Z hopr:cover-traffic strategy tick: 1638982093492 balance:7033942472499234912 open: close: 
",2021-12-08T16:48:13.492Z
2021-12-08 16:48:27.258056+00:00,"2021-12-08T16:48:24.234Z hopr:cover-traffic strategy tick: 1638982104234 balance:7033942472499234912 open: close: 
",2021-12-08T16:48:24.234Z
2021-12-08 16:48:39.083274+00:00,"2021-12-08T16:48:34.920Z hopr:cover-traffic strategy tick: 1638982114920 balance:7033942472499234912 open: close: 
",2021-12-08T16:48:34.920Z
2021-12-08 16:48:51.119452+00:00,"2021-12-08T16:48:45.789Z hopr:cover-traffic strategy tick: 1638982125789 balance:7033942472499234912 open: close: 
",2021-12-08T16:48:45.789Z
2021-12-08 16:48:57.200667+00:00,"2021-12-08T16:48:56.543Z hopr:cover-traffic strategy tick: 1638982136543 balance:7033942472499234912 open: close: 
",2021-12-08T16:48:56.543Z
2021-12-08 16:49:08.259456+00:00,"2021-12-08T16:49:07.298Z hopr:cover-traffic strategy tick: 1638982147298 balance:7033942472499234912 open: close: 
",2021-12-08T16:49:07.298Z
2021-12-08 16:49:20.316883+00:00,"2021-12-08T16:49:18.232Z hopr:cover-traffic strategy tick: 1638982158232 balance:7033942472499234912 open: close: 
",2021-12-08T16:49:18.232Z
2021-12-08 16:49:31.091707+00:00,"2021-12-08T16:49:29.033Z hopr:cover-traffic strategy tick: 1638982169032 balance:7033942472499234912 open: close: 
",2021-12-08T16:49:29.033Z
2021-12-08 16:49:41.123760+00:00,"2021-12-08T16:49:39.791Z hopr:cover-traffic strategy tick: 1638982179791 balance:7033942472499234912 open: close: 
",2021-12-08T16:49:39.791Z
2021-12-08 16:49:51.234049+00:00,"2021-12-08T16:49:50.609Z hopr:cover-traffic strategy tick: 1638982190609 balance:7033942472499234912 open: close: 
",2021-12-08T16:49:50.609Z
2021-12-08 16:50:06.226308+00:00,"2021-12-08T16:50:01.362Z hopr:cover-traffic strategy tick: 1638982201362 balance:7033942472499234912 open: close: 
",2021-12-08T16:50:01.362Z
2021-12-08 16:50:17.307355+00:00,"2021-12-08T16:50:12.155Z hopr:cover-traffic strategy tick: 1638982212154 balance:7033942472499234912 open: close: 
",2021-12-08T16:50:12.155Z
2021-12-08 16:50:27.198267+00:00,"2021-12-08T16:50:23.007Z hopr:cover-traffic strategy tick: 1638982223007 balance:7033942472499234912 open: close: 
",2021-12-08T16:50:23.007Z
2021-12-08 16:50:37.336935+00:00,"2021-12-08T16:50:33.753Z hopr:cover-traffic strategy tick: 1638982233752 balance:7033942472499234912 open: close: 
",2021-12-08T16:50:33.753Z
