insertId,"jsonPayload.""cos.googleapis.com/container_id""","jsonPayload.""cos.googleapis.com/stream""",jsonPayload.message,"labels.""compute.googleapis.com/resource_name""",logName,receiveTimestamp,resource.labels.instance_id,resource.labels.project_id,resource.labels.zone,resource.type,timestamp
6zooglzkjg4l6a0ji,3fdca8baef1320bf8dde38f95a8ee63469313481811810d2456147fab427870f,stdout,"CT: State update:19 nodes, 63 channels
",e2de4f438c50,projects/hoprassociation/logs/cos_containers,2021-10-08T10:18:46.581266461Z,7872204418567022049,hoprassociation,europe-west6-b,gce_instance,2021-10-08T10:18:43.833199562Z
6zooglzkjg4l6a0fn,3fdca8baef1320bf8dde38f95a8ee63469313481811810d2456147fab427870f,stdout,"CT: State update:19 nodes, 63 channels
",e2de4f438c50,projects/hoprassociation/logs/cos_containers,2021-10-08T10:18:41.565845770Z,7872204418567022049,hoprassociation,europe-west6-b,gce_instance,2021-10-08T10:18:39.402997758Z
6zooglzkjg4l5z9zy,3fdca8baef1320bf8dde38f95a8ee63469313481811810d2456147fab427870f,stdout,"CT: State update:19 nodes, 63 channels
",e2de4f438c50,projects/hoprassociation/logs/cos_containers,2021-10-08T10:18:35.532668691Z,7872204418567022049,hoprassociation,europe-west6-b,gce_instance,2021-10-08T10:18:31.540747851Z
6zooglzkjg4l5z9ui,3fdca8baef1320bf8dde38f95a8ee63469313481811810d2456147fab427870f,stdout,"CT: State update:19 nodes, 63 channels
",e2de4f438c50,projects/hoprassociation/logs/cos_containers,2021-10-08T10:18:28.428276915Z,7872204418567022049,hoprassociation,europe-west6-b,gce_instance,2021-10-08T10:18:23.611848114Z
6zooglzkjg4l5z9rp,3fdca8baef1320bf8dde38f95a8ee63469313481811810d2456147fab427870f,stdout,"CT: State update:19 nodes, 63 channels
",e2de4f438c50,projects/hoprassociation/logs/cos_containers,2021-10-08T10:18:23.364094326Z,7872204418567022049,hoprassociation,europe-west6-b,gce_instance,2021-10-08T10:18:19.446614367Z
6zooglzkjg4l5z9lc,3fdca8baef1320bf8dde38f95a8ee63469313481811810d2456147fab427870f,stdout,"CT: State update:19 nodes, 63 channels
",e2de4f438c50,projects/hoprassociation/logs/cos_containers,2021-10-08T10:18:12.474228242Z,7872204418567022049,hoprassociation,europe-west6-b,gce_instance,2021-10-08T10:18:11.560601216Z
6zooglzkjg4l5z9if,3fdca8baef1320bf8dde38f95a8ee63469313481811810d2456147fab427870f,stdout,"CT: State update:19 nodes, 63 channels
",e2de4f438c50,projects/hoprassociation/logs/cos_containers,2021-10-08T10:18:12.474228242Z,7872204418567022049,hoprassociation,europe-west6-b,gce_instance,2021-10-08T10:18:07.405184943Z
6zooglzkjg4l5z9ep,3fdca8baef1320bf8dde38f95a8ee63469313481811810d2456147fab427870f,stdout,"CT: State update:19 nodes, 63 channels
",e2de4f438c50,projects/hoprassociation/logs/cos_containers,2021-10-08T10:18:07.400110232Z,7872204418567022049,hoprassociation,europe-west6-b,gce_instance,2021-10-08T10:18:02.751617800Z
6zooglzkjg4l5z9dj,3fdca8baef1320bf8dde38f95a8ee63469313481811810d2456147fab427870f,stdout,"CT: State update:19 nodes, 63 channels
",e2de4f438c50,projects/hoprassociation/logs/cos_containers,2021-10-08T10:18:02.545936679Z,7872204418567022049,hoprassociation,europe-west6-b,gce_instance,2021-10-08T10:17:58.601849931Z
6zooglzkjg4l5z8zr,3fdca8baef1320bf8dde38f95a8ee63469313481811810d2456147fab427870f,stdout,"CT: State update:19 nodes, 63 channels
",e2de4f438c50,projects/hoprassociation/logs/cos_containers,2021-10-08T10:17:56.618145474Z,7872204418567022049,hoprassociation,europe-west6-b,gce_instance,2021-10-08T10:17:54.744048716Z
