insertId,"jsonPayload.""cos.googleapis.com/container_id""","jsonPayload.""cos.googleapis.com/stream""",jsonPayload.message,"labels.""compute.googleapis.com/resource_name""",logName,receiveTimestamp,resource.labels.instance_id,resource.labels.project_id,resource.labels.zone,resource.type,timestamp
xtv3itsfbe6oxnwzb,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:21:17.987Z hopr:cover-traffic strategy tick: 1633533677987 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:21:22.742355626Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:21:17.988789226Z
xtv3itsfbe6oxnwou,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:21:07.354Z hopr:cover-traffic strategy tick: 1633533667354 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:21:12.918836208Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:21:07.356311866Z
xtv3itsfbe6oxnwgf,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:20:57.118Z hopr:cover-traffic strategy tick: 1633533657118 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:21:00.805101772Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:20:57.119420798Z
xtv3itsfbe6oxnvws,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:20:46.895Z hopr:cover-traffic strategy tick: 1633533646895 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:20:48.968381685Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:20:46.897059354Z
xtv3itsfbe6oxnvoa,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:20:36.608Z hopr:cover-traffic strategy tick: 1633533636607 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:20:37.866221328Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:20:36.609227064Z
xtv3itsfbe6oxnvdw,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:20:26.400Z hopr:cover-traffic strategy tick: 1633533626400 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:20:31.944065608Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:20:26.401791250Z
xtv3itsfbe6oxnuve,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:20:16.137Z hopr:cover-traffic strategy tick: 1633533616137 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:20:20.851046136Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:20:16.139439095Z
xtv3itsfbe6oxnukq,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:20:05.498Z hopr:cover-traffic strategy tick: 1633533605498 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:20:05.920971716Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:20:05.500025869Z
xtv3itsfbe6oxnubz,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:19:55.282Z hopr:cover-traffic strategy tick: 1633533595282 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:20:00.865187907Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:19:55.283377447Z
xtv3itsfbe6oxnttf,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:19:45.077Z hopr:cover-traffic strategy tick: 1633533585077 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:19:49.815872125Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:19:45.078903362Z
xtv3itsfbe6oxntki,b88769d94a573d04fc372aaa7197be59c16c4f659b16ed2ae70d307ec8bf588a,stderr,"2021-10-06T15:19:34.603Z hopr:cover-traffic strategy tick: 1633533574603 balance:999999999999996000 open: close: 
",f9a177c8b7a2,projects/hoprassociation/logs/cos_containers,2021-10-06T15:19:37.755476136Z,6918522443911922678,hoprassociation,europe-west6-a,gce_instance,2021-10-06T15:19:34.604948300Z
